"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","location","language","profileImageURL"
"1","RT @OjoLab: #ATENCIÓN Los invitamos a inscribirse en un #curso de @Ojo_Publico para aprender a encontrar nuevas historias en millones de da…",FALSE,0,NA,2018-11-07 01:05:21,FALSE,NA,"1059975057903157254",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","cuarentai20",8,TRUE,FALSE,NA,NA,"","es","http://pbs.twimg.com/profile_images/2005947111/badtz_normal.jpg"
"2","RT @IainLJBrown: Artificial intelligence may fall short when analyzing data across multiple health systems

Read more here: https://t.co/IS…",FALSE,0,NA,2018-11-07 01:04:55,FALSE,NA,"1059974948813303808",NA,"<a href=""https://spences10.github.io"" rel=""nofollow"">gull_ferrara</a>","GullFerrara",18,TRUE,FALSE,NA,NA,"Oslo, Norge","en-gb","http://pbs.twimg.com/profile_images/968479080214646784/Daa7IwML_normal.jpg"
"3","Jen gIves us the play by play with interactive state-by-county maps! #BigData  https://t.co/mMlDf8WpPQ",FALSE,0,NA,2018-11-07 01:04:34,FALSE,NA,"1059974860674351104",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rbzbeijing",0,FALSE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/378800000769055478/778e8c392e9fb2ffa8d7df99ebda2af9_normal.jpeg"
"4","U.S. court: Qualcomm must license tech to competitors #BigData https://t.co/DptMpIcTPW",FALSE,0,NA,2018-11-07 01:04:09,FALSE,NA,"1059974753958744064",NA,"<a href=""https://www.socialoomph.com"" rel=""nofollow"">SocialOomph</a>","Datafloq",0,FALSE,FALSE,NA,NA,"Global","nl","http://pbs.twimg.com/profile_images/804471065552371712/o0mcVlQe_normal.jpg"
"5","RT @IainLJBrown: Yuval Noah Harari: Could Big Data Destroy Liberal Democracy?

Read more here: https://t.co/hvV8nTetxH

#BigData #DataScien…",FALSE,0,NA,2018-11-07 01:04:06,FALSE,NA,"1059974742231449600",NA,"<a href=""https://spences10.github.io"" rel=""nofollow"">rui_adam</a>","Rui_Adam1",10,TRUE,FALSE,NA,NA,"Brasil","en-gb","http://pbs.twimg.com/profile_images/969612902163460097/HrLXRdus_normal.jpg"
"6","The Insane Amounts of #Data We're Using Every Minute 
 by @Rose_Leadem @EntrepreneurAPJ | 

Read more at:… https://t.co/k8How6GXjD",FALSE,0,NA,2018-11-07 01:03:51,TRUE,NA,"1059974679224614912",NA,"<a href=""http://app.sendblur.com"" rel=""nofollow"">Social Media Publisher App </a>","Ronald_vanLoon",0,FALSE,FALSE,NA,NA,"#NL. Also on Instagram http://bit.ly/2NwFjws","en","http://pbs.twimg.com/profile_images/456884052847386624/a69hONyQ_normal.jpeg"
"7","RT @ThinkBig_open: ¿Sabías que @Telefonica es una de las compañías pionera en la adaptación digital e impulsar el #BigData? El impacto anua…",FALSE,0,NA,2018-11-07 01:03:51,FALSE,NA,"1059974677530066944",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GTELUSB",4,TRUE,FALSE,NA,NA,"LAB C ELE-305, USB, Caracas","es","http://pbs.twimg.com/profile_images/3325355340/7347b5f90c304bfe6ccb2907a65c8f38_normal.jpeg"
"8","RT @jasonbaumgartne: Two social media platforms. The search term was ""oven."" 10,000 comments were analyzed. On the left is a word cloud for…",FALSE,0,NA,2018-11-07 01:03:43,FALSE,NA,"1059974646848614400",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BLFsea",578,TRUE,FALSE,NA,NA,"Seattle","en","http://pbs.twimg.com/profile_images/1031755645194657794/pbbdmMkG_normal.jpg"
"9","RT @ADRIANDOMAINAME: https://t.co/ooWvjebPET
Domain Name 4 Sale. Offers to yeadomain@gmail.com
Domains Portfolio in Google D.
https://t.co/…",FALSE,0,NA,2018-11-07 01:03:43,FALSE,NA,"1059974645976391680",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ADRIANDOMAINAME",3,TRUE,FALSE,NA,NA,"ARGENTINA","es","http://pbs.twimg.com/profile_images/913530156660281344/5-ohnlRU_normal.jpg"
"10","RT @antgrasso: Turning Data into Value. A Live Insight from Web Summit with Mark Stevenson @TheDataAgent via @antgrasso @siemens #Unlockthe…",FALSE,0,NA,2018-11-07 01:03:32,FALSE,NA,"1059974598274568192",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","PaulTheDigit",77,TRUE,FALSE,NA,NA,"United States","en","http://pbs.twimg.com/profile_images/1029306507966464000/9Av7oXs7_normal.jpg"
"11","#crypto #market #volume #explodes to #$13 #billion as #traders #grow #optimistic 
#instabitcoin #instabtc… https://t.co/FM1ToHGj1m",FALSE,0,NA,2018-11-07 01:03:02,TRUE,NA,"1059974474882301954",NA,"<a href=""http://www.coincaps.ai"" rel=""nofollow"">CoinCaps</a>","CoinCapsAi",0,FALSE,FALSE,NA,NA,"The World","en","http://pbs.twimg.com/profile_images/1025787511635881984/zmtaRkQL_normal.jpg"
"12","DATAx presents: IoT trends and predictions for 2019 https://t.co/PcY08ahEha #BigData #DataInnovators https://t.co/Z65RTS8MUU",FALSE,0,NA,2018-11-07 01:03:01,FALSE,NA,"1059974469752623107",NA,"<a href=""http://twinybots.com"" rel=""nofollow"">TwinyBots</a>","Necio_news",0,FALSE,FALSE,NA,NA,"Genève, Suisse","fr","http://pbs.twimg.com/profile_images/756504133985767425/ulCoCLvF_normal.jpg"
"13","RT @BristowColin: Yuval Noah Harari: Could Big Data Destroy Liberal Democracy?
Read more here: https://t.co/56HXt1pToR

#BigData #DataScien…",FALSE,0,NA,2018-11-07 01:02:53,FALSE,NA,"1059974433924730880",NA,"<a href=""https://spences10.github.io"" rel=""nofollow"">taylor_levi</a>","TaylorLevi6",21,TRUE,FALSE,NA,NA,"United States","en-gb","http://pbs.twimg.com/profile_images/980894489937051651/EJ_ybakl_normal.jpg"
"14","RT @viralcorridor: Whether you are a small business owner or a wealthy corporate raider, data security is sure to be one of the most import…",FALSE,0,NA,2018-11-07 01:02:41,FALSE,NA,"1059974386999062528",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SocialSalesEnt",8,TRUE,FALSE,NA,NA,"IG: SocialSellingEntrepreneur","en","http://pbs.twimg.com/profile_images/1019318357756084225/KAozjsGT_normal.jpg"
"15","RT @ravikikan: #DataScientist Profile 

via @ravikikan #MachineLearning #RPA #Robots #Infographics #startups #tech #DataScience #InternetOf…",FALSE,0,NA,2018-11-07 01:02:35,FALSE,NA,"1059974359534784513",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","NAYAKHK",4,TRUE,FALSE,NA,NA,"San Francisco, CA","en","http://pbs.twimg.com/profile_images/533931021876465665/XMNpkKVA_normal.png"
"16","RT @Fisher85M: Top 15 Emerging Technologies {Infographic}

#IoT #AI #AR #VR #ML #analytics @Fisher85M #bigdata #CyberSecurity #Cloud #chatb…",FALSE,0,NA,2018-11-07 01:02:30,FALSE,NA,"1059974340471648256",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","StrategyNDigita",58,TRUE,FALSE,NA,NA,"Texas, USA","en","http://pbs.twimg.com/profile_images/1027565927477403649/vC8BWzyN_normal.jpg"
"17","RT @BristowColin: New Quantum Machine Learning Algorithm Could Crush Big Data
Read more here: https://t.co/yvKdJagTXc

#BigData #DataScienc…",FALSE,0,NA,2018-11-07 01:02:25,FALSE,NA,"1059974317713219586",NA,"<a href=""https://spences10.github.io"" rel=""nofollow"">mallory_wechsler</a>","WechslerMallory",2,TRUE,FALSE,NA,NA,"New York, USA","en-gb","http://pbs.twimg.com/profile_images/955025330623959040/EntPReV0_normal.jpg"
