"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","location","language","profileImageURL"
"1","RT @JaySekulow: There is an ice cream named “Rocky Roe v. Wade.” Is this supposed to be a joke? The deaths of thousands of innocent unborn…",FALSE,0,NA,2018-11-20 21:04:16,FALSE,NA,"1064987817967792133",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","corklebery",90,TRUE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/797148611360542720/C1or6Cml_normal.jpg"
"2","RT @JaySekulow: There is an ice cream named “Rocky Roe v. Wade.” Is this supposed to be a joke? The deaths of thousands of innocent unborn…",FALSE,0,NA,2018-11-20 21:04:16,FALSE,NA,"1064987817309339649",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","FaithBoldness",90,TRUE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/968473691104280576/Sp84vxlW_normal.jpg"
"3","RT @LifeNewsHQ: This is HILARIOUS! 

Here's a pro-life senator mockingly claiming he's a woman so he's ""allowed"" to debate abortion. Well p…",FALSE,0,NA,2018-11-20 21:04:05,FALSE,NA,"1064987770857369600",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","BethG99115824",129,TRUE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/1012354495681056768/pRbBUMWm_normal.jpg"
"4","RT @JanetMorana: In Jan, 165 Dems who voted not to  provide life-saving care to newborns who survive #abortion will start new terms. @frfra…",FALSE,0,NA,2018-11-20 21:03:47,FALSE,NA,"1064987694307074049",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AndrewIslas1",16,TRUE,FALSE,NA,NA,"","en","http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png"
"5","RT @JaySekulow: In a monumental decision, the official policy of the #UnitedStates is that life begins at #conception. This could be the be…",FALSE,0,NA,2018-11-20 21:03:46,FALSE,NA,"1064987690293170178",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","ganganpg4",5160,TRUE,FALSE,NA,NA,"Mississippi, USA","en","http://pbs.twimg.com/profile_images/893560381020438528/_JehZgyz_normal.jpg"
"6",".@JoeManchinWV Will you commit to supporting #ProLife policies once you take office? https://t.co/7r2rbDkWPY",FALSE,0,NA,2018-11-20 21:03:23,FALSE,NA,"1064987595648757761",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DadNWv",0,FALSE,FALSE,NA,NA,"The GREATEST COUNTRY 🇺🇸🇺🇸","en","http://pbs.twimg.com/profile_images/925829645009870848/fLAdbSmG_normal.jpg"
"7","RT @JaySekulow: There is an ice cream named “Rocky Roe v. Wade.” Is this supposed to be a joke? The deaths of thousands of innocent unborn…",FALSE,0,NA,2018-11-20 21:03:17,FALSE,NA,"1064987567278432262",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ghostrider050",92,TRUE,FALSE,NA,NA,"Not Russia","en","http://pbs.twimg.com/profile_images/1057194097616830464/unkFPSmP_normal.jpg"
"8","RT @JaySekulow: There is an ice cream named “Rocky Roe v. Wade.” Is this supposed to be a joke? The deaths of thousands of innocent unborn…",FALSE,0,NA,2018-11-20 21:03:09,FALSE,NA,"1064987534495764484",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","puds4life",92,TRUE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/1050165589862277121/FSc3-CI-_normal.jpg"
"9","🛑 BizPac Review News 🛑 

👉 Adam Schiff tries to use Trump’s naughty new ‘nickname’ to play victim and ask for money… https://t.co/nhh6PQJFSN",FALSE,0,NA,2018-11-20 21:02:05,TRUE,NA,"1064987267943538690",NA,"<a href=""http://www.powerapps.com"" rel=""nofollow"">Microsoft PowerApps and Flow</a>","nuuzfeed",0,FALSE,FALSE,NA,NA,"127.0.0.1","en","http://pbs.twimg.com/profile_images/878923565868785665/A5Fd5QJE_normal.jpg"
"10","RT @JaySekulow: There is an ice cream named “Rocky Roe v. Wade.” Is this supposed to be a joke? The deaths of thousands of innocent unborn…",FALSE,0,NA,2018-11-20 21:01:58,FALSE,NA,"1064987238558257153",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","EnochYawehTruth",92,TRUE,FALSE,NA,NA,"KOH","en","http://pbs.twimg.com/profile_images/1061315193148502016/RMQ9MawA_normal.jpg"
